GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
backend,dev.coms4156.project.config,WebConfig,0,81,0,0,0,11,0,3,0,3
backend,dev.coms4156.project.exception,ForbiddenException,0,8,0,0,0,4,0,2,0,2
backend,dev.coms4156.project.exception,InternalServerErrorException,0,8,0,0,0,4,0,2,0,2
backend,dev.coms4156.project.exception,GlobalExceptionHandler,7,61,0,0,3,19,1,8,1,8
backend,dev.coms4156.project.exception,NotFoundException,0,8,0,0,0,4,0,2,0,2
backend,dev.coms4156.project.exception,BadRequestException,0,8,0,0,0,4,0,2,0,2
backend,dev.coms4156.project,InmemConnection,82,646,46,46,26,137,46,19,5,14
backend,dev.coms4156.project,OrganizationComposite,4,39,0,0,1,12,1,7,1,7
backend,dev.coms4156.project,Department,92,566,8,30,16,110,8,25,0,14
backend,dev.coms4156.project,ServiceApplication,5,7,0,0,2,3,0,2,0,2
backend,dev.coms4156.project,Employee,6,168,2,6,1,45,2,17,0,15
backend,dev.coms4156.project,Organization,17,215,2,10,3,44,4,13,2,9
backend,dev.coms4156.project,MysqlConnection,784,335,60,16,233,97,43,13,10,8
backend,dev.coms4156.project,RouteController,38,319,1,7,8,59,3,19,2,16
backend,dev.coms4156.project,HrDatabaseFacade,108,450,30,40,28,115,29,28,5,17
backend,dev.coms4156.project.interceptor,ParameterDecodingInterceptor,11,36,0,2,3,11,0,4,0,3
backend,dev.coms4156.project.interceptor,RrLoggingInterceptor,0,86,0,0,0,15,0,4,0,4
backend,dev.coms4156.project.utils,CodecUtils,0,13,0,0,0,2,0,2,0,2
backend,dev.coms4156.project.command,GetEmpInfoCmd,0,30,0,2,0,9,0,3,0,2
backend,dev.coms4156.project.command,RegisterCmd,11,46,1,1,2,12,1,2,0,2
backend,dev.coms4156.project.command,RemoveEmpFromDeptCmd,16,83,2,4,2,20,2,5,0,4
backend,dev.coms4156.project.command,SetEmpPosiCmd,7,46,1,3,1,13,1,3,0,2
backend,dev.coms4156.project.command,SetDeptHeadCmd,14,77,2,6,2,20,2,4,0,2
backend,dev.coms4156.project.command,GetOrgInfoCmd,7,18,1,1,1,7,1,2,0,2
backend,dev.coms4156.project.command,SetEmpPerfCmd,7,44,1,3,1,12,1,3,0,2
backend,dev.coms4156.project.command,StatDeptBudgCmd,0,30,0,2,0,9,0,3,0,2
backend,dev.coms4156.project.command,GetDeptInfoCmd,0,30,0,2,0,9,0,3,0,2
backend,dev.coms4156.project.command,StatDeptPerfCmd,0,30,0,2,0,9,0,3,0,2
backend,dev.coms4156.project.command,SetEmpSalCmd,7,46,1,3,1,13,1,3,0,2
backend,dev.coms4156.project.command,StatDeptPosiCmd,7,23,1,1,1,8,1,2,0,2
backend,dev.coms4156.project.command,AddEmpToDeptCmd,19,93,2,2,4,23,2,2,0,2
